user_id,recipe_id,recipe_name,rating,timestamp,user_persona
1,863,Carrot and Ginger Spiced Dosa Recipe,3,2025-08-06 00:48:23.225915,foodie
1,12620,Spanish Omelette Recipe (Tortilla Espanola),5,2025-09-12 00:48:23.226290,foodie
1,3467,Kongunadu Urulai Kurma Recipe (Curried Potatoes from Kongunadu),4,2025-08-09 00:48:23.226472,foodie
1,324,Thulli Recipe (Broken Wheat Halwa),3,2025-09-27 00:48:23.226633,foodie
1,3520,Whole Moong Dal Vada Recipe,4,2025-08-07 00:48:23.226782,foodie
1,8377,हरा चना मसाला रेसिपी - Hara Chana Masala (Recipe In Hindi),4,2025-08-12 00:48:23.226927,foodie
1,2277,Mint & Coriander Chilli Potato Salad Recipe - No Mayo Salad,4,2025-08-31 00:48:23.227075,foodie
1,6420,Pavlova Recipe With Strawberries,5,2025-09-10 00:48:23.227221,foodie
1,2624,Irish Cream Bundt Cake Recipe,4,2025-08-21 00:48:23.227362,foodie
1,856,Chicken Sweet Potato & Dill Curry Recipe,4,2025-10-16 00:48:23.227507,foodie
1,6768,Banana Date Chocolate Chip Cake Recipe,5,2025-08-22 00:48:23.227648,foodie
1,1423,Carrot Beet Amaranth Super Salad Recipe,4,2025-10-07 00:48:23.227791,foodie
1,1700,Coconut French Toast with Chocolate Chips Recipe,5,2025-10-22 00:48:23.227931,foodie
1,5204,Iyengar Style Thavala Adai Recipe,5,2025-10-13 00:48:23.228093,foodie
1,429,Indian Beaten Coffee Recipe | Dalgona Coffee,3,2025-08-10 00:48:23.228240,foodie
1,1280,Pacha Payir Kulambu Recipe (South Indian Style Green Gram Curry),4,2025-10-17 00:48:23.228376,foodie
1,4630,Kumaon Style Thechwani Recipe-Mooli Aloo Sabzi,2,2025-10-02 00:48:23.228525,foodie
1,2592,"Oats, Peas & Tofu Stuffed Paratha Recipe",4,2025-10-24 00:48:23.228670,foodie
1,236,Fig Honey & Paprika Preserve Recipe,4,2025-08-31 00:48:23.228815,foodie
1,9920,Fresh Mango Salsa Recipe,4,2025-10-10 00:48:23.228958,foodie
1,3608,Poha Stars Recipe (Poha Potato Fritters Flavoured With Kasuri Methi),4,2025-09-12 00:48:23.229095,foodie
1,8163,Mushroom Tikka Masala Dry Recipe,4,2025-08-06 00:48:23.229233,foodie
1,5711,Vegetarian Corn Chowder Soup Recipe,5,2025-10-15 00:48:23.229382,foodie
1,8516,Bhaji Vada Recipe (Lentil And Vegetable Fritters),5,2025-10-09 00:48:23.229521,foodie
1,7274,South Indian Bajji Recipe - Onion Bajji | Raw Banana Bajji | Potato Bajji,3,2025-08-16 00:48:23.229660,foodie
2,4289,Mysore Masala Dosa Made With Ragi Dosa Batter,2,2025-09-08 00:48:23.230774,diet_restricted
2,12036,Broccoli Peanut Oats Tikki Recipe,5,2025-08-31 00:48:23.230945,diet_restricted
2,4740,कर्नाटका स्टाइल सोरक्कै पाल्या रेसिपी - Karnataka Style Sorakkai Palya (Recipe In Hindi),5,2025-10-10 00:48:23.231100,diet_restricted
2,3016,Apple Cinnamon French Toast Recipe,5,2025-10-18 00:48:23.231244,diet_restricted
2,1891,चनार दालना रेसिपी - Chanar Dalna (Recipe In Hindi),3,2025-10-28 00:48:23.231392,diet_restricted
2,2267,Himachal Pahari Style Teliah Mah Recipe (Brown Horse Gram Curry),5,2025-08-08 00:48:23.231538,diet_restricted
2,370,"Corn Salad With Radishes, Jalapeño And Lime In Mint Mayo Recipe",1,2025-09-22 00:48:23.231689,diet_restricted
2,9218,Palak Makhana Recipe (Navratri Fasting/Vrat Recipe),5,2025-09-01 00:48:23.231832,diet_restricted
2,5572,Cheesy Pull Apart Bread Recipe,4,2025-10-14 00:48:23.231985,diet_restricted
2,1261,Vazhakkai Varuval Recipe- Raw Banana Roast Recipe,5,2025-09-16 00:48:23.232613,diet_restricted
2,12766,Hawaiian Chicken Skewers Recipe,4,2025-09-27 00:48:23.233188,diet_restricted
2,5427,Ragi Pachchai Maa Puli Upma Recipe - Ragi Flour Upma Recipe,3,2025-08-03 00:48:23.233832,diet_restricted
2,1893,Kerala Style Eggplant Curry Recipe,5,2025-08-12 00:48:23.234247,diet_restricted
2,2192,Chocolate Chip Cookies With Coconut Recipe,2,2025-10-11 00:48:23.234575,diet_restricted
2,12201,Ambade Kaarle Lonche Recipe - Hog Plums & Bitter Gourd Pickle,5,2025-08-25 00:48:23.234879,diet_restricted
2,4360,Kollu Pachadi Recipe (Sprouted Horse gram Raita Recipe),5,2025-08-20 00:48:23.235160,diet_restricted
2,11984,Sago Kheer Recipe - Tapioca Milk Pudding,3,2025-10-01 00:48:23.235429,diet_restricted
2,10998,Chettinad Idiyappam Recipe,3,2025-09-13 00:48:23.235680,diet_restricted
2,7658,Strawberry Panna Cotta Tart With Chocolate Ganache Recipe,5,2025-10-20 00:48:23.235964,diet_restricted
2,6310,Sweet Potato Tacos With Black Beans And Avocado Cream Recipe,4,2025-09-28 00:48:23.236211,diet_restricted
2,3452,भोगिची भाजी रेसिपी - Bhogichi Bhaji (Recipe In Hindi),5,2025-09-22 00:48:23.236438,diet_restricted
2,6959,साउथ इंडियन गाजर पोरियल रेसिपी - Carrot Poriyal (Recipe In Hindi),3,2025-10-18 00:48:23.236704,diet_restricted
3,2548,Gujarati Mooli Bajra Muthia Recipe - Radish And Bajra-Besan Dmplings,3,2025-10-17 00:48:23.237864,health_conscious
3,7048,Old Fashioned Bread Pudding Recipe,3,2025-10-23 00:48:23.238134,health_conscious
3,2209,Mooli Bhurji Recipe,5,2025-09-07 00:48:23.238498,health_conscious
3,3915,Jeera Hing Aloo Recipe - No Onion No Garlic Recipe,3,2025-08-11 00:48:23.238697,health_conscious
3,11099,वेजिटेबल पराठा रोल रेसिपी - Healthy Vegetable Paratha Rolls Recipe,3,2025-09-14 00:48:23.238867,health_conscious
3,12131,Creamy and Delicious Fruit Custard Recipe,3,2025-10-16 00:48:23.239254,health_conscious
3,8506,Nimki Aloo Anardana Curry Recipe - Potato And Nimki Curry,3,2025-08-10 00:48:23.239502,health_conscious
3,10411,Chicken Dimsums Recipe - Steamed Chicken Dumplings,3,2025-10-22 00:48:23.239681,health_conscious
3,4402,Chickpea Salad Recipe With Raw Mango,3,2025-09-17 00:48:23.239855,health_conscious
3,2108,Mysore Chutney Recipe - Chana Dal Chutney,3,2025-08-03 00:48:23.240136,health_conscious
3,127,Sukhi Suran Masala Sabzi Recipe,4,2025-08-17 00:48:23.240417,health_conscious
3,3337,Andhra Dondakaya Ulli Kura Karam Recipe | Andhra Kovakkai Fry,4,2025-08-01 00:48:23.240609,health_conscious
3,1842,Homemade Summer Pasta Salad Recipe With Herbs,5,2025-09-21 00:48:23.240774,health_conscious
3,393,Chana Dal Chutney Recipe,3,2025-08-22 00:48:23.240932,health_conscious
3,1162,Foxtail Millet Rava Idli Recipe,4,2025-09-29 00:48:23.241083,health_conscious
3,1235,Dhaba Style Egg Curry Recipe in Electric Pressure Cooker,1,2025-08-04 00:48:23.241262,health_conscious
4,3420,आंध्रा स्टाइल मूंगफली चटनी रेसिपी - Andhra Style Peanut Chutney Recipe,5,2025-09-07 00:48:23.243499,time_constrained
4,960,Dal Tadka Recipe Flavored with Lemon and Coriander,3,2025-08-14 00:48:23.243860,time_constrained
4,4585,Baale Dindu Kadale Palya - Banana Stem Curry With Chickpeas Recipe,1,2025-08-26 00:48:23.244212,time_constrained
4,4268,Eggless Coffee Souffle Recipe With Chocolate Sauce,5,2025-08-02 00:48:23.244521,time_constrained
4,3498,Vazhaithandu Mor Kootu Recipe (Tamil Nadu Style Banana Stem Recipe),5,2025-08-24 00:48:23.244846,time_constrained
4,223,Gehu Bajra Thepla Recipe - Bajra Masala Paratha,4,2025-09-08 00:48:23.245196,time_constrained
4,7771,Subz Noor E Chashm Recipe (Nawabi Curry Recipe ),2,2025-08-20 00:48:23.245457,time_constrained
4,4880,Milk Peda Recipe,4,2025-08-18 00:48:23.245629,time_constrained
4,6630,दही सुरन की कढ़ी रेसिपी - Dahi Suran Ki Kadhi Recipe,3,2025-08-05 00:48:23.245781,time_constrained
4,1233,Homemade Nachos Recipe,4,2025-10-26 00:48:23.245925,time_constrained
