user_id,persona
1,foodie
2,diet_restricted
3,health_conscious
4,time_constrained
5,foodie
6,traditional
7,foodie
8,foodie
9,health_conscious
10,time_constrained
11,foodie
12,diet_restricted
13,foodie
14,health_conscious
15,foodie
16,time_constrained
17,traditional
18,foodie
19,time_constrained
20,traditional
21,diet_restricted
22,health_conscious
23,health_conscious
24,traditional
25,diet_restricted
26,traditional
27,time_constrained
28,foodie
29,health_conscious
30,health_conscious
31,diet_restricted
32,foodie
33,time_constrained
34,time_constrained
35,diet_restricted
36,time_constrained
37,time_constrained
38,foodie
39,time_constrained
40,time_constrained
41,health_conscious
42,foodie
43,diet_restricted
44,time_constrained
45,health_conscious
46,time_constrained
47,traditional
48,traditional
49,traditional
50,time_constrained
51,health_conscious
52,traditional
53,time_constrained
54,diet_restricted
55,traditional
56,health_conscious
57,diet_restricted
58,diet_restricted
59,diet_restricted
60,time_constrained
61,health_conscious
62,health_conscious
63,health_conscious
64,diet_restricted
65,traditional
66,foodie
67,time_constrained
68,traditional
69,diet_restricted
70,traditional
71,foodie
72,diet_restricted
73,health_conscious
74,diet_restricted
75,diet_restricted
76,time_constrained
77,health_conscious
78,time_constrained
79,traditional
80,traditional
81,foodie
82,health_conscious
83,time_constrained
84,foodie
85,diet_restricted
86,traditional
87,foodie
88,foodie
89,health_conscious
90,time_constrained
91,foodie
92,traditional
93,traditional
94,health_conscious
95,traditional
96,time_constrained
97,traditional
98,time_constrained
99,time_constrained
100,foodie
